PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
ELVA Pharma Slovakia s.r.o.;Žilina;Žilinský kraj;Okres Žilina;Elva Pharma s.r.o., Dr. Janského 599,  ICO : 04552687;0,00;0,00;;;;
AtB Pharma s.r.o.;Martin;Žilinský kraj;Okres Martin;AtB Pharma s.r.o.;0,00;0,00;;;;
MONERE s.r.o.;Žilina;Žilinský kraj;Okres Žilina;MONERE s.r.o.;120,00;0,00;;;;
Lekáreň Slamka, s.r.o.;Dlhá nad Oravou;Žilinský kraj;Okres Dolný Kubín;Lekáreň Slamka, s.r.o.;0,00;0,00;;;;
PEDAG DK s.r.o.;Dolný Kubín;Žilinský kraj;Okres Dolný Kubín;PEDAG DK s.r.o.;;;;;;
"JSC ""Grindeks"" Slovakia o.z.";Martin;Žilinský kraj;Okres Martin;"JSC ""Grindeks"" Slovakia o.z.";0,00;0,00;;;;
Lekáreň RPT, s.r.o.;Žilina;Žilinský kraj;Okres Žilina;Lekáreň RPT, s.r.o.;0,00;0,00;;;;
D.I.Z. spol. s r.o., RNDr. Zuzana Juhásová;Košice - Myslava;Okres Košice II;Košický kraj;D.I.Z. spol. s r.o., RNDr. Zuzana Juhásová;0,00;0,00;;;;
Duslo, a.s.;Šaľa;Okres Šaľa;Nitriansky kraj;Duslo, a.s.;0,00;0,00;;;;
Argentum, s.r.o.;Čadca;Okres Čadca;Žilinský kraj;Argentum, s.r.o.;0,00;0,00;;;;
Mgr.Prestlová,Lekáreň U PREMONŠTRÁTOV s.r.o.;Jasov;Okres Košice - okolie;Košický kraj;Mgr.Prestlová,Lekáreň U PREMONŠTRÁTOV s.r.o.;0,00;0,00;;;;
FARMSTRED spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMSTRED spol. s r.o.;0,00;0,00;;;;
PETRA - FARM, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;PETRA - FARM, spol. s r.o.;0,00;0,00;;;;
VARTEX, s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;VARTEX, s.r.o.;0,00;0,00;;;;
PLUS, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PLUS, spol. s r.o.;0,00;0,00;;;;
Fresenius Medical Care Slovensko, s.r.o.;Piešťany;Okres Piešťany;Trnavský kraj;Fresenius Medical Care Slovensko, s.r.o.;0,00;0,00;;;;
Chamomila, spol. s r.o.,MVDr. K.Nováková.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;Chamomila, spol. s r.o.,MVDr. K.Nováková.;0,00;0,00;;;;
PharmDr. Karol Kandráč - LEKÁREŇ NADA;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;PharmDr. Karol Kandráč - LEKÁREŇ NADA;0,00;0,00;;;;
PHARMED service, s.r.o.;Nové Zámky;Okres Nové Zámky;Nitriansky kraj;PHARMED service, s.r.o.;0,00;0,00;;;;
VITAE PLUS, s.r.o.-PhMr. Emília Benková;Vrbové;Okres Piešťany;Trnavský kraj;VITAE PLUS, s.r.o.-PhMr. Emília Benková;0,00;0,00;;;;
LEKÁREŇ PRI NEMOCNICI, s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;LEKÁREŇ PRI NEMOCNICI, s.r.o.;0,00;0,00;;;;
ELANFIT s.r.o. - Mgr. Katarína Knotková;Gbely;Okres Skalica;Trnavský kraj;ELANFIT s.r.o. - Mgr. Katarína Knotková;0,00;0,00;;;;
MEDICAMENTUM s.r.o.;Bardejov;Okres Bardejov;Prešovský kraj;MEDICAMENTUM s.r.o.;0,00;0,00;;;;
Via Corporation s.r.o.;Michalovce;Okres Michalovce;Košický kraj;Via Corporation s.r.o.;0,00;0,00;;;;
PHARMACY - TIPTOP, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - TIPTOP, spol. s r.o.;0,00;0,00;;;;
Dr.Max 11 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 11 s.r.o.;0,00;0,00;;;;
FARMANOV, spol. s r.o. ;Prešov;Okres Prešov;Prešovský kraj;FARMANOV, spol. s r.o. ;0,00;0,00;;;;
PHARMIDEA, s.r.o.;Nitra;Okres Nitra;Nitriansky kraj;PHARMIDEA, s.r.o.;0,00;0,00;;;;
"PharmDr.Štefančová Gabriela-Lekáreň ""Veča""";Šaľa;Okres Šaľa;Nitriansky kraj;"PharmDr.Štefančová Gabriela-Lekáreň ""Veča""";0,00;0,00;;;;
PharmDr. Mária Uheláková, lekáreň  ALMA;Pavlovce nad Uhom;Okres Michalovce;Košický kraj;PharmDr. Mária Uheláková, lekáreň  ALMA;0,00;0,00;;;;
Oto Bendík-PRO-BEN;Poprad;Okres Poprad;Prešovský kraj;Oto Bendík-PRO-BEN;0,00;0,00;;;;
PATRICIUS s.r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;PATRICIUS s.r.o.;0,00;0,00;;;;
NaturePharm s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;NaturePharm s.r.o.;0,00;0,00;;;;
MEDICOM PLUS s.r.o.;Trnava;Okres Trnava;Trnavský kraj;MEDICOM PLUS s.r.o.;0,00;0,00;;;;
SIMITU, s.r.o.;Michalovce;Okres Michalovce;Košický kraj;SIMITU, s.r.o.;0,00;0,00;;;;
Dr.Max 55 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Dr.Max 55 s.r.o.;0,00;0,00;;;;
Dr.Max 59 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Dr.Max 59 s.r.o.;0,00;0,00;;;;
Dr.Max 70 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 70 s.r.o.;0,00;0,00;;;;
MEDIGEN s.r.o.;Košarovce;Okres Humenné;Prešovský kraj;MEDIGEN s.r.o.;0,00;0,00;;;;
FARMAMI, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAMI, spol. s r.o.;0,00;0,00;;;;
3M Slovensko s. r. o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;3M Slovensko s. r. o.;0,00;0,00;;;;
Health Development s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;Health Development s.r.o.;0,00;0,00;;;;
FARMAPP, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAPP, spol. s r.o.;0,00;0,00;;;;
LM pharm spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;LM pharm spol. s r.o.;0,00;0,00;;;;
VIVAX EuroAsia, s. r. o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;VIVAX EuroAsia, s. r. o.;0,00;0,00;;;;
Dk-pharm, s.r.o.;Prešov;Okres Prešov;Prešovský kraj;Dk-pharm, s.r.o.;0,00;0,00;;;;
RV pharm spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;RV pharm spol. s r.o.;0,00;0,00;;;;
SPRINGTIME, s.r.o.;Hajnáčka;Okres Rimavská Sobota;Banskobystrický kraj;SPRINGTIME, s.r.o.;0,00;0,00;;;;
NOVIO-HC s.r.o.;Leopoldov;Okres Hlohovec;Trnavský kraj;NOVIO-HC s.r.o.;0,00;0,00;;;;
Dr.Max 122 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 122 s.r.o.;0,00;0,00;;;;
Lekáreň MEDEA ZV, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;Lekáreň MEDEA ZV, s.r.o.;0,00;0,00;;;;
Dr.Max 146 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 146 s.r.o.;0,00;0,00;;;;
ZELENÁ LEKÁREŇ LEVOČA, s.r.o.;Levoča;Okres Levoča;Prešovský kraj;ZELENÁ LEKÁREŇ LEVOČA, s.r.o.;0,00;0,00;;;;
LEKÁREŇ ZDRAVIE Spišské Podhradie, s.r.o.;Spišské Podhradie;Okres Levoča;Prešovský kraj;LEKÁREŇ ZDRAVIE Spišské Podhradie, s.r.o.;0,00;0,00;;;;
Lekáreň Humenné s.r.o.;Prešov;Okres Prešov;Prešovský kraj;Lekáreň Humenné s.r.o.;0,00;0,00;;;;
VIVA ProMedic s.r.o.;Svit;Okres Poprad;Prešovský kraj;VIVA ProMedic s.r.o.;0,00;0,00;;;;
AKÁCIA PLUS s.r.o.;Trnava pri Laborci;Okres Michalovce;Košický kraj;AKÁCIA PLUS s.r.o.;0,00;0,00;;;;
Jonathan Puding s.r.o.;Slovenská Ľupča;Okres Banská Bystrica;Banskobystrický kraj;Jonathan Puding s.r.o.;0,00;0,00;;;;
FEVI s.r.o.;Kežmarok;Okres Kežmarok;Prešovský kraj;FEVI s.r.o.;0,00;0,00;;;;
ZIPFARM s.r.o.;Lackovce;Okres Humenné;Prešovský kraj;ZIPFARM s.r.o.;0,00;0,00;;;;
OrtoFit, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;OrtoFit, s.r.o.;0,00;0,00;;;;
Pharmedic s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;Pharmedic s.r.o.;0,00;0,00;;;;
EMRAMA s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;EMRAMA s.r.o.;0,00;0,00;;;;
Vivax Healthcare, s. r. o. ;Považská Bystrica;Okres Považská Bystrica;Trenčiansky kraj;Vivax Healthcare, s. r. o. ;0,00;0,00;;;;
GMP service s.r.o.;Martin;Okres Martin;Žilinský kraj;GMP service s.r.o.;0,00;0,00;;;;
MI pharma s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MI pharma s.r.o.;0,00;0,00;;;;
Farm MI s.r.o.;Prešov;Okres Prešov;Prešovský kraj;Farm MI s.r.o.;0,00;0,00;;;;
Lekáreň Kluknava, s.r.o.;Levoča;Okres Levoča;Prešovský kraj;Lekáreň Kluknava, s.r.o.;0,00;0,00;;;;
MediPack, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;MediPack, s.r.o.;0,00;0,00;;;;
MADOMA s.r.o.;Levoča;Okres Levoča;Prešovský kraj;MADOMA s.r.o.;0,00;0,00;;;;
PHARMACY - PR, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - PR, spol. s r.o.;0,00;0,00;;;;
PHARMACY - PP, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - PP, spol. s r.o.;0,00;0,00;;;;
Arnica Montana BB, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;Arnica Montana BB, s.r.o.;0,00;0,00;;;;
Diagnostic Medicína s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;Diagnostic Medicína s.r.o.;0,00;0,00;;;;
Lekáreň Kanianka s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Lekáreň Kanianka s.r.o.;0,00;0,00;;;;
ApoTK s.r.o.;Pravenec;Okres Prievidza;Trenčiansky kraj;ApoTK s.r.o.;0,00;0,00;;;;
BellaMia s.r.o.;Bratislava - Rusovce;Okres Bratislava V;Bratislavský kraj;BellaMia s.r.o.;0,00;0,00;;;;
DATATEL, spol.s r.o. Košice;Košice - Dargovských hrdinov;Okres Košice III;Košický kraj;DATATEL, spol.s r.o. Košice;0,00;0,00;;;;
HERBAE OK s.r.o.;Handlová;Okres Prievidza;Trenčiansky kraj;HERBAE OK s.r.o.;0,00;0,00;;;;
Lekáreň Delta s. r. o.;Trenčín;Okres Trenčín;Trenčiansky kraj;Lekáreň Delta s. r. o.;0,00;0,00;;;;
MVDr. Igor Rohoň, Medpartner s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MVDr. Igor Rohoň, Medpartner s.r.o.;0,00;0,00;;;;
Pharmpartner s. r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;Pharmpartner s. r. o.;0,00;0,00;;;;
PE pharm spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PE pharm spol. s r.o.;0,00;0,00;;;;
SANIMAT SK s. r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;SANIMAT SK s. r. o.;0,00;0,00;;;;
Dr. Max 105 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr. Max 105 s.r.o.;0,00;0,00;;;;
PHARMACY-N1, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-N1, spol. s r.o.;0,00;0,00;;;;
Medis Pharma Slovakia s. r. o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;Medis Pharma Slovakia s. r. o.;0,00;0,00;;;;
WERBENA s.r.o.;Senec;Okres Senec;Bratislavský kraj;WERBENA s.r.o.;0,00;0,00;;;;
PHARMACY - MC, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY - MC, spol. s r.o.;0,00;0,00;;;;
Lekáreň Ezoterika s.r.o.;Tešedíkovo;Okres Šaľa;Nitriansky kraj;Lekáreň Ezoterika s.r.o.;0,00;0,00;;;;
TOPIX, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;TOPIX, s.r.o.;0,00;0,00;;;;
Merchandise s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;Merchandise s.r.o.;0,00;0,00;;;;
HEDOFARM s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;HEDOFARM s.r.o.;0,00;0,00;;;;
RAVAPHARM DK s.r.o.;Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický kraj;RAVAPHARM DK s.r.o.;0,00;0,00;;;;
Medison Pharma s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;Medison Pharma s.r.o.;0,00;0,00;;;;
OBATAN Science, s.r.o., organizačná zložka Slovensko;Zvolen;Okres Zvolen;Banskobystrický kraj;OBATAN Science, s.r.o., organizačná zložka Slovensko;0,00;0,00;;;;
DAMIDO, s.r.o.;Horná Štubňa;Okres Turčianske Teplice;Žilinský kraj;DAMIDO, s.r.o.;0,00;0,00;;;;
Dr.Max 15 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 15 s.r.o.;0,00;0,00;;;;
NOVIO, s.r.o.;Leopoldov;Okres Hlohovec;Trnavský kraj;NOVIO, s.r.o.;0,00;0,00;;;;
Vista Point s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;Vista Point s.r.o.;0,00;0,00;;;;
Lekáreň Oščadnica, s.r.o.;Čadca;Okres Čadca;Žilinský kraj;Lekáreň Oščadnica, s.r.o.;0,00;0,00;;;;
Dr. Max 114 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr. Max 114 s.r.o.;0,00;0,00;;;;
Theopharm s. r. o.;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;Theopharm s. r. o.;0,00;0,00;;;;
RADIMI, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;RADIMI, s.r.o.;0,00;0,00;;;;
Lekáreň Petržalská tržnica s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;Lekáreň Petržalská tržnica s.r.o.;0,00;0,00;;;;
GRIFOLS INTERNATIONAL S.A., obch. zast.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;GRIFOLS INTERNATIONAL S.A., obch. zast.;0,00;0,00;;;;
Extenza medical s.r.o.;Martin;Okres Martin;Žilinský kraj;Extenza medical s.r.o.;0,00;0,00;;;;
TO pharm spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;TO pharm spol. s r.o.;0,00;0,00;;;;
MOSCATI s. r. o.;Prešov;Okres Prešov;Prešovský kraj;MOSCATI s. r. o.;0,00;0,00;;;;
pharco s. r. o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;pharco s. r. o.;0,00;0,00;;;;
TaJaMed s. r. o.;Malinovo;Okres Senec;Bratislavský kraj;TaJaMed s. r. o.;0,00;0,00;;;;
MM Progress s.r.o.;Piešťany;Okres Piešťany;Trnavský kraj;MM Progress s.r.o.;0,00;0,00;;;;
Dr.Max 28 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 28 s.r.o.;0,00;0,00;;;;
Mgr. Ondrej Sukeľ;Jasenov;Okres Humenné;Prešovský kraj;Mgr. Ondrej Sukeľ;0,00;0,00;;;;
Mgr. Zuzana Urbašíková, lekáreň NÁDEJ;Kalinovo;Okres Poltár;Banskobystrický kraj;Mgr. Zuzana Urbašíková, lekáreň NÁDEJ;0,00;0,00;;;;
PharmDr. Zuzana Györgyová - Lekáreň Viktoria;Orechová Potôň;Okres Dunajská Streda;Trnavský kraj;PharmDr. Zuzana Györgyová - Lekáreň Viktoria;0,00;0,00;;;;
REALMED, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;REALMED, s.r.o.;0,00;0,00;;;;
RNDr. Milan Koblik LEKÁREŇ MEDIA;Humenné;Okres Humenné;Prešovský kraj;RNDr. Milan Koblik LEKÁREŇ MEDIA;0,00;0,00;;;;
ZDRAVMAT POPRAD, s.r.o.-p. Demetrová;Poprad;Okres Poprad;Prešovský kraj;ZDRAVMAT POPRAD, s.r.o.-p. Demetrová;0,00;0,00;;;;
PharmDr. Zuzana Mikuľaková, ZIMMED s.r.o.;Košice - Dargovských hrdinov;Okres Košice III;Košický kraj;PharmDr. Zuzana Mikuľaková, ZIMMED s.r.o.;0,00;0,00;;;;
RECEPIS s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;RECEPIS s.r.o.;0,00;0,00;;;;
MVDr. Igor Rohoň, Farmake Plus s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MVDr. Igor Rohoň, Farmake Plus s.r.o.;0,00;0,00;;;;
FARMATRA spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMATRA spol. s r.o.;0,00;0,00;;;;
IM Pharma, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;IM Pharma, spol. s r.o.;0,00;0,00;;;;
MELLIPHARM, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;MELLIPHARM, s. r. o.;0,00;0,00;;;;
PHARMACY-MI, spol. s r.o.,Ing. Karol Schneider;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-MI, spol. s r.o.,Ing. Karol Schneider;0,00;0,00;;;;
lekáreň CARITAS, s..ro.;Martin;Okres Martin;Žilinský kraj;lekáreň CARITAS, s..ro.;0,00;0,00;;;;
LEKÁREŇ - HLAVNÁ ŠAĽA, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;LEKÁREŇ - HLAVNÁ ŠAĽA, s.r.o.;0,00;0,00;;;;
FARMADIN, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMADIN, spol. s r.o.;0,00;0,00;;;;
MUDr. Miloš Laifer - L.C. Pharma, s.r.o.;Trnava;Okres Trnava;Trnavský kraj;MUDr. Miloš Laifer - L.C. Pharma, s.r.o.;0,00;0,00;;;;
FARMSPOL, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMSPOL, spol. s r.o.;0,00;0,00;;;;
LPL s.r.o.;Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky kraj;LPL s.r.o.;0,00;0,00;;;;
Mgr. Igor Minarovič, PhD.;Čadca;Okres Čadca;Žilinský kraj;Mgr. Igor Minarovič, PhD.;0,00;0,00;;;;
MEDIUS PHARM s.r.o.;Bardejov;Okres Bardejov;Prešovský kraj;MEDIUS PHARM s.r.o.;0,00;0,00;;;;
MUDr. Jana Jakubovová, CHIMA s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MUDr. Jana Jakubovová, CHIMA s.r.o.;0,00;0,00;;;;
MVDr. Igor Rohoň, Farmake s.r.o.;Prešov;Okres Prešov;Prešovský kraj;MVDr. Igor Rohoň, Farmake s.r.o.;0,00;0,00;;;;
FARMADEX, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMADEX, spol. s r.o.;0,00;0,00;;;;
LSPHARM, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;LSPHARM, s.r.o.;0,00;0,00;;;;
Lekáreň na Sihoti, s.r.o.;Trenčín;Okres Trenčín;Trenčiansky kraj;Lekáreň na Sihoti, s.r.o.;0,00;0,00;;;;
FARMACENT, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMACENT, spol. s r.o.;0,00;0,00;;;;
FARMAFARM, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAFARM, spol. s r.o.;0,00;0,00;;;;
FARMAKOV, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAKOV, spol. s r.o.;0,00;0,00;;;;
FARMAMICH, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAMICH, spol. s r.o.;0,00;0,00;;;;
TALENT, s r.o. Moldava nad Bodvou ;Prešov;Okres Prešov;Prešovský kraj;TALENT, s r.o. Moldava nad Bodvou ;0,00;0,00;;;;
FARMATIN, spol. s r.o., Lekáreň Stráňany;Prešov;Okres Prešov;Prešovský kraj;FARMATIN, spol. s r.o., Lekáreň Stráňany;0,00;0,00;;;;
FARMALUK, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMALUK, spol. s r.o.;0,00;0,00;;;;
FARMACE, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMACE, spol. s r.o.;0,00;0,00;;;;
Lekáreň na námestí Lučenec, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;Lekáreň na námestí Lučenec, s.r.o.;0,00;0,00;;;;
MEDIC TRADE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;MEDIC TRADE s.r.o.;0,00;0,00;;;;
SD16 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;SD16 s.r.o.;0,00;0,00;;;;
SD28 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;SD28 s. r. o.;0,00;0,00;;;;
FARMAPAP, spol. s r.o;Prešov;Okres Prešov;Prešovský kraj;FARMAPAP, spol. s r.o;0,00;0,00;;;;
Mgr. Edita Kunová - Lekáreň PRI TATRE;Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky kraj;Mgr. Edita Kunová - Lekáreň PRI TATRE;0,00;0,00;;;;
PharmDr. Ivica Blahútová, LEKÁREŇ TÍLIA 3;Likavka;Okres Ružomberok;Žilinský kraj;PharmDr. Ivica Blahútová, LEKÁREŇ TÍLIA 3;0,00;0,00;;;;
Lekáreň Narcis s.r.o.,  PharmDr. Mária Šimaljaková;Veľká Mača;Okres Galanta;Trnavský kraj;Lekáreň Narcis s.r.o.,  PharmDr. Mária Šimaljaková;0,00;0,00;;;;
FARMAKOŠ, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;FARMAKOŠ, spol. s r.o.;0,00;0,00;;;;
Ephedra s. r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;Ephedra s. r. o.;0,00;0,00;;;;
MADICOR, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;MADICOR, s.r.o.;0,00;0,00;;;;
Lekáreň Viamila s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;Lekáreň Viamila s.r.o.;0,00;0,00;;;;
Lambda Synergy s.r.o.;Nitra;Okres Nitra;Nitriansky kraj;Lambda Synergy s.r.o.;0,00;0,00;;;;
PHARMICA, spol. s r.o.;Piešťany;Okres Piešťany;Trnavský kraj;PHARMICA, spol. s r.o.;0,00;0,00;;;;
CUBICON, s. r. o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;CUBICON, s. r. o.;0,00;0,00;;;;
LKA invest, s.r.o.;Žilina;Okres Žilina;Žilinský kraj;LKA invest, s.r.o.;0,00;0,00;;;;
KK pharm, s.r.o.;Prešov;Okres Prešov;Prešovský kraj;KK pharm, s.r.o.;0,00;0,00;;;;
PHARMACY-RK, spol. s r.o.;Prešov;Okres Prešov;Prešovský kraj;PHARMACY-RK, spol. s r.o.;0,00;0,00;;;;
Dr.Max 16 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr.Max 16 s.r.o.;0,00;0,00;;;;
RNDr. Darina Janoušková LEKÁREŇ sv.CYRILA A METODA ;Nitra;Okres Nitra;Nitriansky kraj;RNDr. Darina Janoušková LEKÁREŇ sv.CYRILA A METODA ;0,00;0,00;;;;
Mgr. Eva Sidóová;Dunajská Streda;Okres Dunajská Streda;Trnavský kraj;Mgr. Eva Sidóová;0,00;0,00;;;;
Rabeno, s.r.o.;Prešov;Okres Prešov;Prešovský kraj;Rabeno, s.r.o.;0,00;0,00;;;;
Mgr. Naďa Spurná, TABERNA s.r.o.;Košice - Nad jazerom;Okres Košice IV;Košický kraj;Mgr. Naďa Spurná, TABERNA s.r.o.;0,00;0,00;;;;
LACOMED SK spol. s r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;LACOMED SK spol. s r.o.;0,00;0,00;;;;
Lekáreň Čadca, s.r.o.;Čadca;Okres Čadca;Žilinský kraj;Lekáreň Čadca, s.r.o.;0,00;0,00;;;;
Dr.Max 49 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Dr.Max 49 s.r.o.;0,00;0,00;;;;
Dr.Max 54 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Dr.Max 54 s.r.o.;0,00;0,00;;;;
Dr.Max 63 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Dr.Max 63 s.r.o.;0,00;0,00;;;;
Dr.Max 47 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;Dr.Max 47 s.r.o.;0,00;0,00;;;;
Rotpharm, s.r.o.;Michalovce;Okres Michalovce;Košický kraj;Rotpharm, s.r.o.;0,00;0,00;;;;
Dr. Max 139 T, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;Dr. Max 139 T, s.r.o.;0,00;0,00;;;;
PharmDr. Zuzana Brezániová - Lekáreň CARITAS;Prievidza;Okres Prievidza;Trenčiansky kraj;PharmDr. Zuzana Brezániová - Lekáreň CARITAS;0,00;0,00;;;;
Palmitas, s.r.o.;Čadca;Okres Čadca;Žilinský kraj;Palmitas, s.r.o.;0,00;0,00;;;;
Mgr. Miroslava Rožoková, KAMÉLIA s.r.o.;Zemplínska Teplica;Okres Trebišov;Košický kraj;Mgr. Miroslava Rožoková, KAMÉLIA s.r.o.;0,00;0,00;;;;
Lekáreň Pod hradom s.r.o.;Fiľakovo;Okres Lučenec;Banskobystrický kraj;Lekáreň Pod hradom s.r.o.;0,00;0,00;;;;
Arimedon, spol. s r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;Arimedon, spol. s r.o.;0,00;0,00;;;;
PharmDr. Marčeková - Lekáreň AMARA, s.r.o.;Trnava;Okres Trnava;Trnavský kraj;PharmDr. Marčeková - Lekáreň AMARA, s.r.o.;0,00;0,00;;;;
Mgr. Jana Balková - LEKÁREŇ CENTRUM;Lučenec;Okres Lučenec;Banskobystrický kraj;Mgr. Jana Balková - LEKÁREŇ CENTRUM;0,00;0,00;;;;
